k, f, h2OmegaGW
1.535524519541057771e+02 1.283694726797387879e-02 0.000000000000000000e+00
1.542379539717452133e+02 1.289425506827626168e-02 0.000000000000000000e+00
1.549234559893846779e+02 1.295156286857864804e-02 0.000000000000000000e+00
1.556089580070241141e+02 1.300887066888102919e-02 0.000000000000000000e+00
1.562944600246635503e+02 1.306617846918341382e-02 0.000000000000000000e+00
1.569799620423029864e+02 1.312348626948579844e-02 0.000000000000000000e+00
1.576654640599424511e+02 1.318079406978818306e-02 0.000000000000000000e+00
1.583509660775818872e+02 1.323810187009056422e-02 0.000000000000000000e+00
1.590364680952213234e+02 1.329540967039294710e-02 0.000000000000000000e+00
1.597219701128607880e+02 1.335271747069533346e-02 0.000000000000000000e+00
1.604074721305002242e+02 1.341002527099771635e-02 0.000000000000000000e+00
1.610929741481396604e+02 1.346733307130010097e-02 0.000000000000000000e+00
1.617784761657791250e+02 1.352464087160248213e-02 0.000000000000000000e+00
1.624639781834185612e+02 1.358194867190486675e-02 0.000000000000000000e+00
1.631494802010579974e+02 1.363925647220724791e-02 0.000000000000000000e+00
1.638349822186974620e+02 1.369656427250963253e-02 0.000000000000000000e+00
1.645204842363368982e+02 1.375387207281202062e-02 0.000000000000000000e+00
1.652059862539763344e+02 1.381117987311439831e-02 0.000000000000000000e+00
1.658914882716157990e+02 1.386848767341678813e-02 0.000000000000000000e+00
1.665769902892552352e+02 1.392579547371916755e-02 0.000000000000000000e+00
1.672624923068946714e+02 1.398310327402155218e-02 0.000000000000000000e+00
1.679479943245341360e+02 1.404041107432393333e-02 0.000000000000000000e+00
1.686334963421735722e+02 1.409771887462632142e-02 0.000000000000000000e+00
1.693189983598130084e+02 1.415502667492870605e-02 0.000000000000000000e+00
1.700045003774524446e+02 1.421233447523108720e-02 0.000000000000000000e+00
1.706900023950919092e+02 1.426964227553347182e-02 0.000000000000000000e+00
1.713755044127313454e+02 1.432695007583585298e-02 0.000000000000000000e+00
1.720610064303707816e+02 1.438425787613823760e-02 0.000000000000000000e+00
1.727465084480102462e+02 1.444156567644062222e-02 0.000000000000000000e+00
1.734320104656496824e+02 1.449887347674300511e-02 0.000000000000000000e+00
1.741175124832891186e+02 1.455618127704538627e-02 0.000000000000000000e+00
1.748030145009285832e+02 1.461348907734777262e-02 0.000000000000000000e+00
1.754885165185680194e+02 1.467079687765015725e-02 0.000000000000000000e+00
1.761740185362074556e+02 1.472810467795254014e-02 0.000000000000000000e+00
1.768595205538469202e+02 1.478541247825492649e-02 0.000000000000000000e+00
1.775450225714863564e+02 1.484272027855730938e-02 0.000000000000000000e+00
1.782305245891257925e+02 1.490002807885969054e-02 0.000000000000000000e+00
1.789160266067652572e+02 1.495733587916207516e-02 0.000000000000000000e+00
1.796015286244046933e+02 1.501464367946445978e-02 0.000000000000000000e+00
1.802870306420441295e+02 1.507195147976684094e-02 0.000000000000000000e+00
1.809725326596835941e+02 1.512925928006922556e-02 0.000000000000000000e+00
1.816580346773230303e+02 1.518656708037160671e-02 0.000000000000000000e+00
1.823435366949624665e+02 1.524387488067399481e-02 0.000000000000000000e+00
1.830290387126019027e+02 1.530118268097637596e-02 0.000000000000000000e+00
1.837145407302413673e+02 1.535849048127876405e-02 0.000000000000000000e+00
1.844000427478808035e+02 1.541579828158114174e-02 0.000000000000000000e+00
1.850855447655202397e+02 1.547310608188352636e-02 0.000000000000000000e+00
1.857710467831597043e+02 1.553041388218590925e-02 0.000000000000000000e+00
1.864565488007991405e+02 1.558772168248829561e-02 0.000000000000000000e+00
1.871420508184385767e+02 1.564502948279067329e-02 0.000000000000000000e+00
1.878275528360780413e+02 1.570233728309306312e-02 0.000000000000000000e+00
1.885130548537174775e+02 1.575964508339544948e-02 0.000000000000000000e+00
1.891985568713569137e+02 1.581695288369782890e-02 0.000000000000000000e+00
1.898840588889963783e+02 1.587426068400021525e-02 0.000000000000000000e+00
1.905695609066358145e+02 1.593156848430260161e-02 0.000000000000000000e+00
1.912550629242752507e+02 1.598887628460498103e-02 0.000000000000000000e+00
1.919405649419147153e+02 1.604618408490736739e-02 0.000000000000000000e+00
1.926260669595541515e+02 1.610349188520974681e-02 0.000000000000000000e+00
1.933115689771935877e+02 1.616079968551212970e-02 0.000000000000000000e+00
1.939970709948330523e+02 1.621810748581451606e-02 0.000000000000000000e+00
1.946825730124724885e+02 1.627541528611690241e-02 0.000000000000000000e+00
1.953680750301119247e+02 1.633272308641928183e-02 0.000000000000000000e+00
1.960535770477513609e+02 1.639003088672166472e-02 0.000000000000000000e+00
1.967390790653908255e+02 1.644733868702405108e-02 0.000000000000000000e+00
1.974245810830302617e+02 1.650464648732643397e-02 0.000000000000000000e+00
1.981100831006696978e+02 1.656195428762881686e-02 0.000000000000000000e+00
1.987955851183091625e+02 1.661926208793119975e-02 0.000000000000000000e+00
1.994810871359485986e+02 1.667656988823358263e-02 0.000000000000000000e+00
2.001665891535880348e+02 1.673387768853596552e-02 0.000000000000000000e+00
